,index,symbol,date,close,open,high,low,volume,market_cap
50,12,ELPI.JK,2026-09-01,655,670,680,650,1070900,6238495100000
51,13,ELPI.JK,2026-09-02,670,655,675,655,917700,6381361400000
52,14,ELPI.JK,2026-09-03,670,670,680,660,888500,6381361400000
53,15,ELPI.JK,2026-09-04,670,670,675,660,500700,6381361400000
54,16,ELPI.JK,2026-09-07,655,670,675,650,889000,6238495100000
55,17,ELPI.JK,2026-09-08,655,660,675,650,759600,6238495100000
56,18,ELPI.JK,2026-09-09,760,655,775,650,16543200,7238559200000
57,0,WBSA.JK,2026-08-12,655,640,660,635,11800600,5682125000000
58,1,WBSA.JK,2026-08-13,640,655,660,630,6538700,5552000000000
59,2,WBSA.JK,2026-08-14,640,640,645,630,7294700,5552000000000
60,3,WBSA.JK,2026-08-18,645,635,655,635,7393200,5595375000000
61,4,WBSA.JK,2026-08-19,655,640,655,630,7953700,5682125000000
62,5,WBSA.JK,2026-08-20,665,655,665,645,10152900,5768875000000
63,6,WBSA.JK,2026-08-21,715,665,720,660,43657000,6202625000000
64,7,WBSA.JK,2026-08-24,685,715,725,675,17575200,5942375000000
65,8,WBSA.JK,2026-08-26,650,680,685,630,16586500,5638750000000
66,9,WBSA.JK,2026-08-27,675,645,675,635,13635200,5855625000000
67,10,WBSA.JK,2026-08-28,685,670,695,665,13567400,5942375000000
68,11,WBSA.JK,2026-08-31,690,685,705,675,11970600,5985750000000
69,12,WBSA.JK,2026-09-01,705,690,705,680,12139600,6115875000000
70,13,WBSA.JK,2026-09-02,740,710,755,700,31130400,6419500000000
71,14,WBSA.JK,2026-09-03,710,740,740,700,12649500,6159250000000
72,15,WBSA.JK,2026-09-04,695,705,715,685,9643000,6029125000000
73,16,WBSA.JK,2026-09-07,695,695,700,675,10208600,6029125000000
74,17,WBSA.JK,2026-09-08,715,695,720,690,16320800,6202625000000
75,18,WBSA.JK,2026-09-09,725,715,750,710,20641900,6289375000000
76,0,SMDR.JK,2026-08-12,302,302,304,300,5171500,4945431200000
77,1,SMDR.JK,2026-08-13,300,302,302,298,3112700,4912680000000
78,2,SMDR.JK,2026-08-14,302,300,304,298,4121100,4945431200000
79,3,SMDR.JK,2026-08-18,308,304,310,300,11471200,5043684800000
80,4,SMDR.JK,2026-08-19,308,310,312,308,8243800,5043684800000
81,5,SMDR.JK,2026-08-20,310,310,314,308,9850200,5076436000000
82,6,SMDR.JK,2026-08-21,312,312,316,310,6400200,5109187200000
83,7,SMDR.JK,2026-08-24,314,312,314,310,9994900,5141938400000
84,8,SMDR.JK,2026-08-26,308,312,314,306,9803600,5043684800000
85,9,SMDR.JK,2026-08-27,312,306,312,304,8844900,5109187200000
86,10,SMDR.JK,2026-08-28,312,312,314,308,8238000,5109187200000
87,11,SMDR.JK,2026-08-31,320,312,322,312,17034000,5240192000000
88,12,SMDR.JK,2026-09-01,324,320,328,320,14448900,5305694400000
89,13,SMDR.JK,2026-09-02,318,324,326,314,11601600,5207440800000
90,14,SMDR.JK,2026-09-03,348,320,354,320,63737000,5698708800000
91,15,SMDR.JK,2026-09-04,346,350,352,344,21343500,5665957600000
92,16,SMDR.JK,2026-09-07,362,348,370,348,51302800,5927967200000
93,17,SMDR.JK,2026-09-08,362,362,364,356,15986500,5927967200000
94,18,SMDR.JK,2026-09-09,384,370,408,370,116910700,6288230400000
95,0,HATM.JK,2026-08-12,590,565,605,550,21965200,5121200000000
96,1,HATM.JK,2026-08-13,585,590,595,565,14080500,5077800000000
97,2,HATM.JK,2026-08-14,620,585,635,580,41513400,5381600000000
98,3,HATM.JK,2026-08-18,635,615,650,600,32791000,5511800000000
99,4,HATM.JK,2026-08-19,645,635,665,615,49855000,5598600000000
100,5,HATM.JK,2026-08-20,650,635,685,600,48329000,5642000000000
101,6,HATM.JK,2026-08-21,570,650,650,570,24924600,4947600000000
102,7,HATM.JK,2026-08-24,590,555,620,500,10194600,5121200000000
103,8,HATM.JK,2026-08-26,570,590,610,570,11254700,4947600000000
104,9,HATM.JK,2026-08-27,555,565,605,550,30060600,4817400000000
105,10,HATM.JK,2026-08-28,575,555,595,550,13913900,4991000000000
106,11,HATM.JK,2026-08-31,580,575,610,560,15081200,5034400000000
107,12,HATM.JK,2026-09-01,585,580,595,570,20114900,5077800000000
108,13,HATM.JK,2026-09-02,605,585,620,575,54309100,5251400000000
109,14,HATM.JK,2026-09-03,610,605,610,595,14153400,5294800000000
110,15,HATM.JK,2026-09-04,615,610,615,585,40286700,5338200000000
111,16,HATM.JK,2026-09-07,580,615,615,580,5426000,5405600000000
112,17,HATM.JK,2026-09-08,590,580,590,555,16918300,5498800000000
113,18,HATM.JK,2026-09-09,605,585,605,580,15760000,5638600000000
114,0,BIRD.JK,2026-08-12,1630,1620,1635,1610,653700,4078423000000
115,1,BIRD.JK,2026-08-13,1635,1635,1640,1625,476500,4090933500000
116,2,BIRD.JK,2026-08-14,1630,1640,1640,1625,151700,4078423000000
117,3,BIRD.JK,2026-08-18,1650,1630,1670,1625,963700,4128465000000
118,4,BIRD.JK,2026-08-19,1660,1650,1665,1640,677600,4153486000000
119,5,BIRD.JK,2026-08-20,1655,1665,1670,1650,586100,4140975500000
120,6,BIRD.JK,2026-08-21,1645,1670,1670,1640,1266200,4115954500000
121,7,BIRD.JK,2026-08-24,1630,1645,1645,1625,1186500,4078423000000
122,8,BIRD.JK,2026-08-26,1620,1630,1630,1615,1246900,4053402000000
123,9,BIRD.JK,2026-08-27,1625,1620,1630,1615,919100,4065912500000
124,10,BIRD.JK,2026-08-28,1630,1630,1635,1620,743500,4078423000000
125,11,BIRD.JK,2026-08-31,1630,1640,1640,1625,743400,4078423000000
126,12,BIRD.JK,2026-09-01,1630,1635,1640,1625,873000,4078423000000
127,13,BIRD.JK,2026-09-02,1620,1630,1635,1610,814600,4053402000000
128,14,BIRD.JK,2026-09-03,1630,1620,1635,1615,772700,4078423000000
