Date,symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits,day_of_week,is_weekend,is_dividend,is_stock_split,daily_return_pct,MA_7_Close,MA_30_Close,MA_7_Volume,volatility_7d,target_volume_T_plus_1
2021-11-15,SMDR.JK,154.32694390479554,157.44465994327626,144.1943667797332,146.53265380859375,83754000.0,0.0,0.0,0,0,0,0,-0.04568538007616296,152.21136038643974,123.98118591308594,65571285.71428572,0.03497851446409979,52104500.0
2021-11-16,SMDR.JK,147.312092822531,150.4298090727433,142.63551844721255,143.41494750976562,52104500.0,0.0,0.0,1,0,0,0,-0.021276529277225675,151.3205849783761,125.33219604492187,54112214.28571428,0.028083970895157035,58696500.0
2021-11-17,SMDR.JK,143.41495262352194,145.75323989455762,136.4000908104149,144.1943817138672,58696500.0,0.0,0.0,2,0,0,0,0.005434818459550739,150.31846182686942,126.47535858154296,51315500.0,0.027666819413397412,22881500.0
2021-11-18,SMDR.JK,144.1943765723187,145.75323469742486,141.8560893846595,143.41494750976562,22881500.0,0.0,0.0,3,0,0,0,-0.005405440869729827,148.31421770368303,127.69646402994792,40236214.28571428,0.018304851769082947,59750500.0
2021-11-19,SMDR.JK,143.41493777011303,150.42979885669465,142.63550876049285,146.53265380859375,59750500.0,0.0,0.0,4,0,0,0,0.021739061046031072,147.31209237234933,129.02149302164713,39598142.85714286,0.021522890629984956,0.0
2021-11-20,SMDR.JK,143.41493777011303,150.42979885669465,142.63550876049285,146.53265380859375,0.0,0.0,0.0,5,1,0,0,0.0,146.30996704101562,130.37250340779622,39598142.85714286,0.021522890629984956,0.0
2021-11-21,SMDR.JK,143.41493777011303,150.42979885669465,142.63550876049285,146.53265380859375,0.0,0.0,0.0,6,1,0,0,0.0,145.30784170968192,131.69753239949543,39598142.85714286,0.021522890629984956,23685000.0
2021-11-22,SMDR.JK,146.532664088199,149.65038034539472,145.7532350239001,148.09152221679688,23685000.0,0.0,0.0,0,0,0,0,0.01063836877095925,145.53053719656808,133.07452367146809,31016857.14285714,0.013413369086946549,49945500.0
2021-11-23,SMDR.JK,148.87095616937992,148.87095616937992,138.7383780007834,141.85609436035156,49945500.0,0.0,0.0,1,0,0,0,-0.042105231704736124,145.30784388950892,134.2436673482259,30708428.57142857,0.02001637322661775,18801000.0
2021-11-24,SMDR.JK,141.8560893846595,145.75323469742486,141.8560893846595,143.41494750976562,18801000.0,0.0,0.0,2,0,0,0,0.010988975527933098,145.19649614606584,135.3608487447103,25009071.42857143,0.020437445257497272,17985000.0
2021-11-25,SMDR.JK,143.41494750976562,146.53266375997794,143.41494750976562,143.41494750976562,17985000.0,0.0,0.0,3,0,0,0,0.0,145.19649614606584,136.37410608927408,24309571.42857143,0.020327086045577127,55629000.0
2021-11-26,SMDR.JK,143.4149415465607,144.19437057670504,134.84122221497282,135.6206512451172,55629000.0,0.0,0.0,4,0,0,0,-0.05434786540724912,143.63763863699776,137.1275535583496,23720785.714285713,0.02633322232077936,0.0
2021-11-27,SMDR.JK,143.4149415465607,144.19437057670504,134.84122221497282,135.6206512451172,0.0,0.0,0.0,5,1,0,0,0.0,142.0787811279297,137.95894393920898,23720785.714285713,0.02633322232077936,0.0
2021-11-28,SMDR.JK,143.4149415465607,144.19437057670504,134.84122221497282,135.6206512451172,0.0,0.0,0.0,6,1,0,0,0.0,140.5199236188616,138.76435343424478,23720785.714285713,0.02633322232077936,29569000.0
2021-11-29,SMDR.JK,135.6206613882429,136.40009047668104,129.38522868073744,134.8412322998047,29569000.0,0.0,0.0,0,0,0,0,-0.0057470520761900845,138.6270250592913,139.54378229777018,24561357.14285714,0.02480534322873215,84560500.0
2021-11-30,SMDR.JK,134.84122732979912,144.9738051060268,134.84122732979912,136.40008544921875,84560500.0,0.0,0.0,1,0,0,0,0.011560656357308519,137.84759521484375,140.37517293294272,29506357.14285714,0.022508321007670962,84863500.0
2021-12-01,SMDR.JK,137.1795198209993,148.0915270794879,136.40009073110727,141.85609436035156,84863500.0,0.0,0.0,2,0,0,0,0.04000004027243853,137.6249019077846,141.05067825317383,38943857.14285714,0.028017751442746576,27687000.0
2021-12-02,SMDR.JK,141.8561045609785,142.63553370691795,137.9589588312813,141.07667541503906,27687000.0,0.0,0.0,3,0,0,0,-0.005494433981331648,137.29086303710938,141.70020294189453,40329857.14285714,0.028054842562483973,46263000.0
2021-12-03,SMDR.JK,142.63550367712338,147.3120775681766,140.29721673159676,145.7532196044922,46263000.0,0.0,0.0,4,0,0,0,0.033148953756494626,138.73837280273438,142.42766977945965,38991857.14285714,0.018817726346055122,0.0
2021-12-04,SMDR.JK,142.63550367712338,147.3120775681766,140.29721673159676,145.7532196044922,0.0,0.0,0.0,5,1,0,0,0.0,140.18588256835938,142.9472885131836,38991857.14285714,0.018817726346055122,0.0
2021-12-05,SMDR.JK,142.63550367712338,147.3120775681766,140.29721673159676,145.7532196044922,0.0,0.0,0.0,6,1,0,0,0.0,141.63339233398438,143.57083129882812,38991857.14285714,0.018817726346055122,57022500.0
2021-12-06,SMDR.JK,145.7532196044922,152.76808044107202,144.97379062264997,145.7532196044922,57022500.0,0.0,0.0,0,0,0,0,0.0,143.19224766322546,144.19437408447266,42913785.71428572,0.01810275370388025,25274500.0
2021-12-07,SMDR.JK,147.31209315249794,148.8709512810958,144.97380595960115,148.09152221679688,25274500.0,0.0,0.0,1,0,0,0,0.01604288823704736,144.8624529157366,144.89586029052734,34444357.14285714,0.018191882755254084,37062000.0
2021-12-08,SMDR.JK,148.0915065500188,150.42979349554545,144.19436164080778,145.7532196044922,37062000.0,0.0,0.0,2,0,0,0,-0.015789577805011445,145.419185093471,145.02576446533203,27615571.42857143,0.015939798801033887,26796000.0
2021-12-09,SMDR.JK,145.75324503580728,147.31210327148438,141.85609944661456,142.63552856445312,26796000.0,0.0,0.0,3,0,0,0,-0.02139020358177368,145.64187840053015,144.79193623860678,27488285.714285713,0.01845023113976235,15935000.0
2021-12-10,SMDR.JK,144.19436164080778,146.5326485863344,143.41493265896557,145.7532196044922,15935000.0,0.0,0.0,4,0,0,0,0.021857745201471657,145.64187840053015,144.61006876627604,23155714.285714287,0.015502218294399602,0.0
2021-12-11,SMDR.JK,144.19436164080778,146.5326485863344,143.41493265896557,145.7532196044922,0.0,0.0,0.0,5,1,0,0,0.0,145.64187840053015,144.22035420735676,23155714.285714287,0.015502218294399602,0.0
2021-12-12,SMDR.JK,144.19436164080778,146.5326485863344,143.41493265896557,145.7532196044922,0.0,0.0,0.0,6,1,0,0,0.0,145.64187840053015,143.96054382324218,23155714.285714287,0.015502218294399602,201549500.0
2021-12-13,SMDR.JK,145.75324054933944,165.2389678955078,145.75324054933944,165.2389678955078,201549500.0,0.0,0.0,0,0,0,0,0.13369000248427487,148.42555672781808,144.35025838216146,43802428.571428575,0.05281115222823081,328697500.0
2021-12-14,SMDR.JK,169.13611857096353,184.7247009277344,162.9006856282552,182.38641357421875,328697500.0,0.0,0.0,1,0,0,0,0.10377361888119796,153.32482692173548,145.31155446370443,87148571.42857143,0.06161309182270393,114968500.0
2021-12-15,SMDR.JK,183.94525580512152,187.84240105523003,173.0332491048177,175.3715362548828,114968500.0,0.0,0.0,2,0,0,0,-0.038461622123411976,157.55601501464844,146.2728505452474,98278071.42857143,0.06502892303841243,63706000.0
2021-12-16,SMDR.JK,175.37155151367188,178.48926798502603,164.45954386393228,170.69497680664062,63706000.0,0.0,0.0,3,0,0,0,-0.026666581978533443,161.56450762067522,147.18218485514322,103550928.57142857,0.06573033452132504,34292500.0
2021-12-17,SMDR.JK,170.69498180167022,178.4892732081392,170.69498180167022,173.8126983642578,34292500.0,0.0,0.0,4,0,0,0,0.018264869980028076,165.57300458635603,148.16946207682292,106173428.57142857,0.06579793288211266,0.0
2021-12-18,SMDR.JK,170.69498180167022,178.4892732081392,170.69498180167022,173.8126983642578,0.0,0.0,0.0,5,1,0,0,0.0,169.58150155203683,149.18272043863934,106173428.57142857,0.06579793288211266,0.0
